asset,station,elevation
channel,0.123976,1000.407843
channel,1.2406,1000.449379
channel,2.288457,1000.463474
channel,3.94921,1000.484755
channel,4.53513,1000.392312
channel,5.1036,1000.313456
channel,5.8879,1000.191446
channel,7.046999,1000.025811
channel,7.272426,1000.026955
channel,7.589164,1000.063308
channel,7.918542,1000.020312
channel,7.992404,999.929763
channel,8.0625,999.841383
channel,8.262647,999.64246
channel,8.799,999.6028
channel,9.32059,999.544643
channel,9.33,999.59268
channel,9.684158,999.571892
channel,10.7259,999.55207
channel,11.28117,999.517848
channel,12.13855,999.470265
channel,12.7733,999.42833
channel,12.8255,999.416728
channel,13.29856,999.358282
channel,13.69,999.33779
channel,14.1303,999.3716
channel,14.5696,999.36772
channel,14.77657,999.382267
channel,15.0276,999.44007
channel,15.1515,999.569159
channel,15.2967,999.6796
channel,15.3927,999.759735
channel,15.475,999.898
channel,15.5508,1000.003379
channel,15.6697,1000.215255
channel,15.81655,1000.360893
channel,15.966,1000.4365
channel,16.084,1000.52798
channel,16.202,1000.57759
channel,16.358,1000.604082
channel,16.743,1000.6394
channel,17.2009,1000.66366
channel,17.40909,1000.6767
channel,17.62205,1000.6926
channel,18.0178,1000.661
channel,18.557,1000.614579
channel,18.8607,1000.5875
channel,19.234,1000.5535
channel,19.3846,1000.517913
channel,21.16049,1000.452884
channel,22.570524,1000.4547
channel,23.8489,1000.456
obj1,10.62409,999.69728
obj1,11.358,999.648193
obj1,10.74,999.667326
obj1,11.2526,999.6863
obj1,11.3426,999.7114
obj1,11.6375,999.75329
obj1,11.7937,999.813909
obj1,11.8408,999.820729
obj1,12.0353,999.8862
obj1,12.01967,999.92812
obj1,12.0432,999.99504
obj1,12.0369,1000.06947
obj1,12.022,999.955
obj1,12.021957,1000.16608
obj1,12.0576,1000.26094
obj1,12.0645,1000.38458
obj1,12.1,1000.46014
obj1,11.99887,1000.53929
obj1,12.05035,1000.6353
obj1,12.029,1000.6975
obj1,12.0758,1000.77328
obj1,12.0295,1000.88437
obj1,12.04435,1000.994858
obj1,12.0806,1001.02525
obj1,12.04458,1001.14848
obj1,11.9815,1001.1827
obj1,11.9166,1001.25563
obj1,11.707,1001.3352
obj1,11.3208,1001.3292
obj1,11.1149,1001.3112
obj1,10.9727,1001.25052
obj1,10.903,1001.2049
obj1,10.6529,1001.04429
obj1,10.5893,1000.97158
obj1,10.546,1000.8611
obj1,10.5339,1000.8152
obj1,10.5117,1000.7279
obj1,10.4738,1000.60649
obj1,10.451,1000.52329
obj1,10.4354,1000.43044
obj1,10.45,1000.3706
obj1,10.4999,1000.1706
obj1,10.526,1000.127
obj1,10.546,1000.094
obj1,10.627,999.92227
obj1,10.6185,999.8703
obj1,10.58158,999.7924
